icao,iata,name,country,file
AAH,XK,Aloha Air Cargo,United States,AAH.svg
AAL,AA,American Airlines,United States,AAL.svg
AAR,OZ,Asiana Airlines,South Korea,AAR.svg
AAW,MR,Afriqiyah Airways,Libya,AAW.svg
AAY,NQ,Allegiant Air,United States,AAY.svg
ABL,GB,ABX Air,United States,ABL.svg
ABN,OY,Andes Líneas Aéreas,Argentina,ABN.svg
ABX,GB,ABX Air,United States,ABX.svg
ABY,G9,Air Arabia,United Arab Emirates,ABY.svg
ACA,AC,Air Canada,Canada,ACA.svg
ACI,XK,Air Caraïbes,France,ACI.svg
AEA,UX,Air Europa,Spain,AEA.svg
AEE,A3,Aegean Airlines,Greece,AEE.svg
AEZ,E4,Aero Mongolia,Mongolia,AEZ.svg
AFG,FG,Ariana Afghan Airlines,Afghanistan,AFG.svg
AFL,SU,Aeroflot,Russia,AFL.svg
AFR,AF,Air France,France,AFR.svg
AHY,J2,Azerbaijan Airlines,Azerbaijan,AHY.svg
AIB,TX,Air Caraïbes,France,AIB.svg
AIC,AI,Air India,India,AIC.svg
AKJ,VV,Aeroitalia,Italy,AKJ.svg
AKL,NS,Hainan Airlines (legacy),China,AKL.svg
ALK,UL,SriLankan Airlines,Sri Lanka,ALK.svg
AMU,NX,Air Macau,Macau,AMU.svg
AMX,AM,Aeroméxico,Mexico,AMX.svg
ANA,NH,All Nippon Airways,Japan,ANA.svg
ANG,PX,Air Niugini,Papua New Guinea,ANG.svg
ANO,VL,Air Nostrum,Spain,ANO.svg
ANZ,NZ,Air New Zealand,New Zealand,ANZ.svg
APJ,MM,Peach Aviation,Japan,APJ.svg
ARG,AR,Aerolíneas Argentinas,Argentina,ARG.svg
ARU,XL,Aerolane / LATAM Ecuador,Ecuador,ARU.svg
ASA,AS,Alaska Airlines,United States,ASA.svg
ASL,5O,ASL Airlines France,France,ASL.svg
ASV,CG,Airlines PNG,Papua New Guinea,ASV.svg
ATC,TC,Air Tanzania,Tanzania,ATC.svg
AUA,OS,Austrian Airlines,Austria,AUA.svg
AUI,PS,Ukraine International Airlines,Ukraine,AUI.svg
AUR,UU,Air Austral,France (Réunion),AUR.svg
AVA,AV,Avianca,Colombia,AVA.svg
AWC,OF,Overland Airways,Nigeria,AWC.svg
AXM,AK,AirAsia,Malaysia,AXM.svg
AZU,AD,Azul Brazilian Airlines,Brazil,AZU.svg
AZW,A2,Astra Airlines,Greece,AZW.svg
BAV,QH,Bamboo Airways,Vietnam,BAV.svg
BAW,BA,British Airways,United Kingdom,BAW.svg
BBC,BG,Biman Bangladesh Airlines,Bangladesh,BBC.svg
BEL,SN,Brussels Airlines,Belgium,BEL.svg
BHS,UP,Bahamasair,Bahamas,BHS.svg
BIX,BV,Blue Panorama Airlines,Italy,BIX.svg
BKP,PG,Bangkok Airways,Thailand,BKP.svg
BOE,--,Boeing Test Flights,United States,BOE.svg
BOT,BP,Air Botswana,Botswana,BOT.svg
BOV,OB,Boliviana de Aviación,Bolivia,BOV.svg
BOX,--,AeroLogic,Germany,BOX.svg
BRU,FB,Bulgaria Air,Bulgaria,BRU.svg
BTI,BT,airBaltic,Latvia,BTI.svg
CAI,--,Corendon Airlines,Turkey,CAI.svg
CAL,CI,China Airlines,Taiwan,CAL.svg
CAY,KX,Cayman Airways,Cayman Islands,CAY.svg
CBJ,CJ,BA CityFlyer,United Kingdom,CBJ.svg
CCA,CA,Air China,China,CCA.svg
CCM,XK,Air Corsica,France,CCM.svg
CEB,5J,Cebu Pacific,Philippines,CEB.svg
CEL,5L,Aerosur,Bolivia,CEL.svg
CES,MU,China Eastern Airlines,China,CES.svg
CFG,DE,Condor,Germany,CFG.svg
CHH,HU,Hainan Airlines,China,CHH.svg
CKS,K4,Kalitta Air,United States,CKS.svg
CLX,CV,Cargolux,Luxembourg,CLX.svg
CMP,CM,Copa Airlines,Panama,CMP.svg
CNF,CW,City Airways,Thailand,CNF.svg
CPA,CX,Cathay Pacific,Hong Kong,CPA.svg
CRK,KA,Cathay Dragon,Hong Kong,CRK.svg
CSN,CZ,China Southern Airlines,China,CSN.svg
CSW,5Z,CemAir,South Africa,CSW.svg
