number,region,city,source_hotel_name_from_image,logo_subline_used,filename_base,font_size,letter_spacing,estimated_subline_width
1,Canada,Banff,The Fairmont Banff Springs,BANFF SPRINGS,001_The_Fairmont_Banff_Springs,17.0,4.5,182.5
2,Canada,Calgary,The Fairmont Palliser,PALLISER,002_The_Fairmont_Palliser,17.0,4.5,105.1
3,Canada,Charlevoix,Fairmont Le Manoir Richelieu,LE MANOIR RICHELIEU,003_Fairmont_Le_Manoir_Richelieu,17.0,3.1,237.7
4,Canada,Edmonton,The Fairmont Hotel Macdonald,HOTEL MACDONALD,004_The_Fairmont_Hotel_Macdonald,17.0,4.5,233.9
5,Canada,Jasper,The Fairmont Jasper Park Lodge,JASPER PARK LODGE,005_The_Fairmont_Jasper_Park_Lodge,17.0,4.3,237.2
6,Canada,Lake Louise,The Fairmont Chateau Lake Louise,CHATEAU LAKE LOUISE,006_The_Fairmont_Chateau_Lake_Louise,17.0,2.75,237.9
7,Canada,Mont Tremblant,Fairmont Tremblant,TREMBLANT,007_Fairmont_Tremblant,17.0,4.5,136.5
8,Canada,Montebello,Fairmont Kenauk,KENAUK,008_Fairmont_Kenauk,17.0,4.5,91.8
9,Canada,Montebello,Fairmont Le Château Montebello,LE CHÂTEAU MONTEBELLO,009_Fairmont_Le_Chateau_Montebello,17.0,0.8,237.1
10,Canada,Montreal,Fairmont The Queen Elizabeth,THE QUEEN ELIZABETH,010_Fairmont_The_Queen_Elizabeth,17.0,2.7,237.7
11,Canada,Ottawa,Fairmont Château Laurier,CHÂTEAU LAURIER,011_Fairmont_Chateau_Laurier,17.0,4.5,215.7
12,Canada,Québec City,Fairmont Le Château Frontenac,LE CHÂTEAU FRONTENAC,012_Fairmont_Le_Chateau_Frontenac,17.0,1.45,237.1
13,Canada,Toronto,The Fairmont Royal York,ROYAL YORK,013_The_Fairmont_Royal_York,17.0,4.5,146.1
14,Canada,Vancouver,The Fairmont Waterfront,WATERFRONT,014_The_Fairmont_Waterfront,17.0,4.5,157.0
15,Canada,Vancouver,The Fairmont Vancouver Airport,VANCOUVER AIRPORT,015_The_Fairmont_Vancouver_Airport,17.0,3.5,237.2
16,Canada,Vancouver,The Fairmont Hotel Vancouver,HOTEL VANCOUVER,016_The_Fairmont_Hotel_Vancouver,17.0,4.5,228.0
17,Canada,Vancouver,Fairmont Pacific Rim,PACIFIC RIM,017_Fairmont_Pacific_Rim,17.0,4.5,144.1
18,Canada,Victoria,The Fairmont Empress,EMPRESS,018_The_Fairmont_Empress,17.0,4.5,101.7
19,Canada,Whistler,Fairmont Chateau Whistler,CHATEAU WHISTLER,019_Fairmont_Chateau_Whistler,17.0,4.5,235.4
20,Canada,Winnipeg,The Fairmont Winnipeg,WINNIPEG,020_The_Fairmont_Winnipeg,17.0,4.5,117.0
21,"Mexico, Caribbean and Bermuda",Acapulco,The Fairmont Pierre Marques,PIERRE MARQUES,021_The_Fairmont_Pierre_Marques,17.0,4.5,201.9
22,"Mexico, Caribbean and Bermuda",Acapulco,The Fairmont Acapulco Princess,ACAPULCO PRINCESS,022_The_Fairmont_Acapulco_Princess,17.0,4.0,237.3
23,"Mexico, Caribbean and Bermuda",Barbados,The Fairmont Royal Pavilion,ROYAL PAVILION,023_The_Fairmont_Royal_Pavilion,17.0,4.5,196.0
24,"Mexico, Caribbean and Bermuda",Hamilton,The Fairmont Hamilton Princess,HAMILTON PRINCESS,024_The_Fairmont_Hamilton_Princess,17.0,4.05,237.8
25,"Mexico, Caribbean and Bermuda",Riviera Maya,Fairmont Mayakoba,MAYAKOBA,025_Fairmont_Mayakoba,17.0,4.5,128.3
26,"Mexico, Caribbean and Bermuda",Southampton,The Fairmont Southampton,SOUTHAMPTON,026_The_Fairmont_Southampton,17.0,4.5,177.5
27,United States,Boston,Fairmont Battery Wharf,BATTERY WHARF,027_Fairmont_Battery_Wharf,17.0,4.5,194.4
28,United States,Boston,"The Fairmont Copley Plaza, Boston","COPLEY PLAZA, BOSTON",028_The_Fairmont_Copley_Plaza_Boston,17.0,2.0,237.5
29,United States,Chicago,"Fairmont Chicago, Millennium Park","CHICAGO, MILLENNIUM PARK",029_Fairmont_Chicago_Millennium_Park,16.75,0.0,237.5
30,United States,Dallas,The Fairmont Dallas,DALLAS,030_The_Fairmont_Dallas,17.0,4.5,85.1
31,United States,Hawaii,The Fairmont Orchid,ORCHID,031_The_Fairmont_Orchid,17.0,4.5,88.8
